NUMBER,LOCALITY,Dept/State,Country,Long,Lat,POP,Biome,Long_POP,Lat_POP,LB,LT,LH,LE,LM,BM1,LIF,BIF,BIT,BP,LN,BN,LIB,BB,BZP,DI,BOC,LPB,BOF,BR,BI,LI,BBU,LBB,CZL,LogLM,LogBM1,LogLIF,LogBIF,LogBIT,LogBP,LogLN,LogBN,LogLIB,LogBB,LogBZP,LogDI,LogBOC,LogLPB,LogBOF,LogBR,LogBI,LogLI,LogBBU,LogLBB,LogCZL
UMMZ 174824,"Margin of Rio Tebicuary, 1.2 Km upstream (E) Hotel Centu Cue (opposite margin)",Paraguari,Paraguai,-56.9,-26,PAR,FA,-56.84,-26.42,,,,,7.52,2.45,7.52,2.28,3.83,8.09,15.21,4.35,5.06,16.44,5.28,2.46,8.46,9.54,9.43,5.71,12.67,2.95,5.06,15.8,29.34,0.876217841,0.389166084,0.876217841,0.357934847,0.583198774,0.907948522,1.182129214,0.638489257,0.704150517,1.215901813,0.722633923,0.390935107,0.927370363,0.979548375,0.974511693,0.756636108,1.102776615,0.469822016,0.704150517,1.198657087,1.46746011
UMMZ 174822,"Margin of Rio Tebicuary, 1.2 Km upstream (E) Hotel Centu Cue (opposite margin)",Paraguari,Paraguai,-56.9,-26,PAR,FA,-56.84,-26.42,,,,,7.36,2.4,7.64,2.42,3.84,8,14.46,3.24,4.87,15.98,4.87,2.46,8.57,9.21,9.23,5.03,12.31,2.77,5.01,15.12,27.82,0.866877814,0.380211242,0.883093359,0.383815366,0.584331224,0.903089987,1.160168293,0.51054501,0.687528961,1.203576775,0.687528961,0.390935107,0.932980822,0.96425963,0.965201701,0.701567985,1.090258053,0.442479769,0.699837726,1.179551791,1.444357126
UMMZ 174863,"Estancia San Isidro, 5.56 Km NW of houses",Itapua,Paraguai,-55.8981,-26.4847,PAR,FA,-56.84,-26.42,,,,,7.57,2.66,8.36,2.6,3.81,8.92,15.53,4.32,4.36,15.46,5.25,2.61,8.19,9.31,8.94,5.25,10.06,2.96,5.34,14.86,29.88,0.87909588,0.424881637,0.922206277,0.414973348,0.580924976,0.950364854,1.191171456,0.635483747,0.639486489,1.18920949,0.720159303,0.416640507,0.913283902,0.968949681,0.951337519,0.720159303,1.002597981,0.471291711,0.727541257,1.172018809,1.475380593
MAM204,Lagoa Santa,Minas Gerais,Brasil,-41.969598,-18.055305,SP-SC-PR,FA,-46.06,-23.14,192,199,,22,7.22,2.31,6.66,2.73,4.21,8.11,15.73,4.76,4.92,15.66,5.5,2.27,8.7,10.54,9.06,5.36,11.96,3.44,5.65,15.44,28.8,0.858537198,0.36361198,0.823474229,0.436162647,0.624282096,0.909020854,1.196728723,0.677606953,0.691965103,1.194791758,0.740362689,0.356025857,0.939519253,1.022840611,0.957128198,0.72916479,1.07773118,0.536558443,0.752048448,1.188647296,1.459392488
MN 67110,"C‹rrego Argentini, Paulênia",SÊo Paulo,Brasil,-47.155804,-22.759853,SP-SC-PR,FA,-46.06,-23.14,,,46,22,7.84,2.5,8.57,2.99,3.52,9.4,16.03,4.11,5.22,17.29,5.4,2.27,8.12,9.55,9.48,5.29,9.65,3.06,5.24,15.86,30.89,0.894316063,0.397940009,0.932980822,0.475671188,0.546542663,0.973127854,1.204933522,0.613841822,0.717670503,1.237794993,0.73239376,0.356025857,0.909556029,0.980003372,0.976808337,0.723455672,0.984527313,0.485721426,0.719331287,1.200303183,1.489817908
MN 24173,"Faz Antonio Taino, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,,,,6.84,2.18,8.47,2.76,3.58,8.41,16.82,3.77,4.54,16.41,4.85,2.12,8.87,9.35,9.75,5.73,12.18,3.02,5.92,15.2,30.53,0.835056102,0.338456494,0.92788341,0.440909082,0.553883027,0.924795996,1.225825991,0.57634135,0.657055853,1.215108581,0.685741739,0.326335861,0.94792362,0.970811611,0.989004616,0.758154622,1.085647288,0.480006943,0.772321707,1.181843588,1.484726804
MN 67131,"Faz Antonio Taino, bairro barranco, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,135,45,21,7.37,2.37,8.03,2.76,3.82,8.91,16.62,4.12,4.26,16.09,5.13,2.6,9.01,10.34,9.33,5.71,11.26,3.37,5.8,16.03,31.12,0.867467488,0.374748346,0.904715545,0.440909082,0.582063363,0.949877704,1.220631019,0.614897216,0.629409599,1.206556044,0.710117365,0.414973348,0.954724791,1.014520539,0.969881644,0.756636108,1.051538391,0.527629901,0.763427994,1.204933522,1.493039588
MN 67134,"Faz Honda, canal principal, lado esquerdo, Distrito Eugênio Mello, SÊo Jos_ dos campo",SÊo Paulo,Brasil,-45.878405,-23.191165,SP-SC-PR,FA,-46.06,-23.14,,170,44,20,7.23,2.18,6.88,2.6,3.56,8.12,14.21,3.84,4.77,15.66,4.55,2.43,8.01,9.68,8.49,4.87,12.07,2.79,5.88,14.29,27.56,0.859138297,0.338456494,0.837588438,0.414973348,0.551449998,0.909556029,1.152594078,0.584331224,0.678518379,1.194791758,0.658011397,0.385606274,0.903632516,0.985875357,0.92890769,0.687528961,1.08170727,0.445604203,0.769377326,1.155032229,1.440279213
MN 67117,"Faz Honda, SÊo Jos_ dos campo",SÊo Paulo,Brasil,-45.878405,-23.191165,SP-SC-PR,FA,-46.06,-23.14,,160,44,20,7.17,2.32,6.91,2.54,3.16,8.07,13.04,4.35,4.98,16.13,4.65,2.53,7.97,8.77,8.29,5.35,11.13,3.92,5.27,14.24,26.43,0.855519156,0.365487985,0.839478047,0.404833717,0.499687083,0.906873535,1.115277591,0.638489257,0.697229343,1.207634367,0.667452953,0.403120521,0.901458321,0.942999593,0.918554531,0.728353782,1.046495164,0.593286067,0.721810615,1.153509989,1.422097163
MN 24175,"Faz. Antonio Tavares, Taubat_",SÊo Paulo,Brasil,-45.551515,-23.024869,SP-SC-PR,FA,-46.06,-23.14,,180,46,21,7.12,2.32,7.74,2.61,3.39,8.78,16.18,3.66,4.65,15.66,5.2,2.54,8.6,9.01,9.13,5.29,12.03,3.04,5.68,15.22,29.68,0.852479994,0.365487985,0.888740961,0.416640507,0.530199698,0.943494516,1.208978517,0.563481085,0.667452953,1.194791758,0.716003344,0.404833717,0.934498451,0.954724791,0.960470778,0.723455672,1.080265627,0.482873584,0.754348336,1.182414652,1.472463897
